school,notenglish,fromnonenglish,notfrench,fromnonfrench
708038,25,5,100,10
708070,20,5,100,5
708143,26,8,100,8
714909,28,15,100,15
716405,5,0,100,0
718114,36,4,100,4
819219,15,5,100,5
722790,28,7,99,8
724564,36,16,100,17
726494,30,10,100,10
798118,27,3,99,3
730742,10,0,100,5
731447,45,5,100,10
690694,20,7,100,6
742171,25,10,100,10
742821,25,10,95,10
782606,5,5,100,5
747440,25,10,95,10
742333,27,6,99,6
749087,25,10,100,10
747882,13,4,100,4
750042,15,10,100,10
751430,49,8,100,8
752029,25,5,100,0
753211,6,2,100,3
867942,10,0,100,5
759481,15,5,95,5
770434,15,5,100,5
766364,33,8,100,9
759562,55,10,100,15
767255,31,4,99,4
772496,10,0,95,0
770620,10,0,100,0
771759,26,8,99,9
773530,10,10,100,5
775606,23,8,100,8
776092,30,0,100,0
776742,10,0,100,0
777528,30,15,100,15
780804,30,10,100,10
781401,56,32,99,32
781819,10,0,100,0
783870,20,0,100,0
784290,20,0,100,0
785393,5,0,100,1
785997,25,10,100,5
786730,30,5,100,5
690031,20,10,100,10
788511,21,2,99,3
787647,10,0,100,0
789143,30,5,100,5
789763,40,10,100,15
792586,30,0,100,5
792594,31,5,100,6
792020,21,8,99,8
794791,40,10,95,10
795852,24,4,99,4
796468,30,5,100,5
797316,20,5,100,5
797278,35,10,100,5
798274,30,10,95,5
800465,30,0,100,0
801100,25,0,100,0
801178,19,6,99,6
690708,20,5,100,5
803502,32,12,100,12
801577,10,5,100,5
680435,10,0,100,0
806889,10,0,95,0
806919,30,8,99,9
811041,10,5,100,5
816396,25,10,100,10
800007,25,5,100,5
816906,15,0,100,0
818500,20,5,95,0
819883,40,0,100,0
819433,20,0,100,0
821381,19,2,100,2
750298,28,8,100,7
822639,20,5,100,0
822655,13,4,100,4
821365,15,5,95,5
823090,30,0,100,0
823953,38,9,99,8
824950,15,5,100,5
832308,30,15,100,15
835536,25,5,100,5
836036,4,1,100,0
839256,40,10,100,10
841730,30,10,100,10
843547,5,0,100,0
845779,35,10,100,10
846473,35,5,100,5
847933,20,20,100,20
848751,20,5,100,10
848930,20,10,100,10
849286,5,1,100,2
850071,30,10,100,10
850217,28,10,100,10
850365,20,5,100,5
850403,56,9,100,8
851000,10,5,100,5
851299,20,20,100,20
852651,34,5,100,5
854530,20,5,100,5
856207,30,7,100,7
856673,19,6,100,5
856959,10,0,100,0
858420,26,11,100,11
857165,30,5,95,10
865362,10,0,100,0
683246,15,10,100,10
715030,30,10,100,10
